hour,hour_bef_temperature,hour_bef_precipitation,hour_bef_windspeed,hour_bef_humidity,hour_bef_visibility,hour_bef_ozone,hour_bef_pm10,hour_bef_pm2.5,count
23,15.2,0.0,1.4,58.0,2000.0,0.041,31.0,16.0,122
1,4.9,0.0,1.5,81.0,2000.0,,,,34
17,27.0,0.0,4.7,27.0,2000.0,0.065,,,185
16,24.2,0.0,3.4,33.0,1633.0,0.075,77.0,42.0,296
20,16.5,0.0,3.4,29.0,2000.0,0.061,41.0,25.0,135
16,19.0,0.0,3.2,22.0,1285.0,0.067,71.0,59.0,125
2,11.0,0.0,0.4,42.0,1926.0,0.037,27.0,19.0,23
2,14.6,0.0,1.4,37.0,1997.0,0.004,48.0,36.0,24
4,10.1,0.0,0.0,44.0,2000.0,0.036,26.0,20.0,9
23,8.1,0.0,2.7,54.0,946.0,0.04,75.0,64.0,57
0,11.0,0.0,0.9,72.0,920.0,0.015,83.0,38.0,64
16,19.8,0.0,4.2,48.0,892.0,0.071,63.0,37.0,140
1,11.6,0.0,0.6,52.0,1853.0,,,,39
4,14.0,0.0,1.6,43.0,1999.0,0.007,55.0,40.0,6
11,9.3,0.0,2.3,60.0,1966.0,0.014,32.0,30.0,98
23,16.8,0.0,2.2,45.0,2000.0,0.03,31.0,17.0,123
18,25.2,0.0,4.9,25.0,2000.0,0.064,,,332
18,20.7,0.0,3.1,56.0,1804.0,0.05,47.0,26.0,297
20,23.2,0.0,2.3,37.0,1952.0,0.07,53.0,31.0,213
16,15.8,0.0,5.3,17.0,1923.0,0.047,,,102
2,12.7,0.0,2.5,45.0,2000.0,0.037,32.0,25.0,21
8,10.6,0.0,0.7,22.0,974.0,0.026,214.0,21.0,34
19,10.8,1.0,3.9,92.0,250.0,0.032,34.0,28.0,1
3,11.7,0.0,3.9,98.0,150.0,0.041,20.0,20.0,3
11,22.9,0.0,2.1,31.0,1947.0,0.04,25.0,18.0,127
2,8.9,0.0,0.9,52.0,839.0,0.011,80.0,71.0,10
12,17.9,1.0,2.0,51.0,1997.0,0.007,73.0,40.0,2
0,20.6,0.0,2.0,71.0,827.0,0.047,60.0,35.0,80
7,10.7,0.0,1.3,93.0,177.0,0.015,71.0,58.0,6
11,14.5,0.0,2.1,67.0,912.0,0.027,44.0,32.0,75
15,25.8,0.0,3.2,26.0,1986.0,0.059,29.0,19.0,256
1,18.8,0.0,1.1,61.0,2000.0,,,,62
18,29.5,0.0,4.8,7.0,2000.0,0.057,27.0,11.0,431
23,11.7,0.0,2.9,65.0,1446.0,0.041,50.0,21.0,114
5,17.4,0.0,1.0,71.0,1855.0,0.005,33.0,24.0,26
0,14.8,0.0,1.2,64.0,2000.0,0.042,28.0,16.0,78
23,19.2,0.0,1.9,46.0,1877.0,0.006,64.0,38.0,101
6,18.2,0.0,0.4,80.0,661.0,0.059,48.0,30.0,46
2,12.1,1.0,3.3,98.0,328.0,0.034,9.0,8.0,8
12,19.7,0.0,3.5,45.0,1307.0,0.053,124.0,21.0,80
20,27.7,0.0,2.9,9.0,2000.0,0.049,20.0,11.0,271
17,19.5,0.0,2.6,54.0,579.0,0.059,66.0,51.0,195
16,29.0,0.0,4.1,41.0,1207.0,0.106,72.0,49.0,126
14,27.1,0.0,2.2,29.0,856.0,0.055,88.0,42.0,113
7,14.6,0.0,0.6,53.0,1532.0,0.014,56.0,31.0,23
11,23.5,0.0,3.0,33.0,1801.0,0.03,50.0,32.0,108
11,21.5,0.0,1.9,37.0,1284.0,0.053,90.0,37.0,112
22,17.7,0.0,2.5,66.0,577.0,0.07,92.0,51.0,159
1,14.1,0.0,1.3,69.0,1970.0,,,,56
9,19.8,0.0,0.6,57.0,1721.0,0.008,40.0,29.0,138
12,18.6,0.0,3.2,56.0,1276.0,0.05,51.0,24.0,120
11,17.1,0.0,5.3,40.0,1984.0,0.043,53.0,14.0,110
20,20.6,0.0,2.6,60.0,830.0,0.07,,51.0,190
9,18.5,0.0,3.8,58.0,975.0,0.037,35.0,27.0,133
18,22.6,0.0,5.4,18.0,2000.0,0.066,39.0,21.0,252
12,18.0,0.0,5.0,18.0,1268.0,0.037,163.0,16.0,77
22,20.2,0.0,2.8,33.0,1945.0,0.079,68.0,36.0,206
0,5.9,0.0,2.0,74.0,2000.0,0.042,25.0,25.0,40
9,17.0,0.0,1.8,60.0,1929.0,0.029,28.0,16.0,87
23,11.1,0.0,2.9,55.0,2000.0,0.033,47.0,21.0,85
18,12.1,0.0,0.9,46.0,2000.0,0.049,24.0,22.0,137
0,11.1,0.0,2.3,72.0,1290.0,0.04,48.0,25.0,66
19,16.0,0.0,3.7,28.0,2000.0,0.038,43.0,18.0,190
5,12.4,0.0,1.3,64.0,2000.0,0.039,37.0,14.0,15
14,20.9,0.0,5.3,29.0,1599.0,0.055,58.0,23.0,140
7,12.8,0.0,1.4,84.0,235.0,0.031,114.0,67.0,39
15,20.3,0.0,4.0,51.0,1149.0,0.067,55.0,31.0,120
14,19.2,0.0,4.0,16.0,1935.0,0.048,24.0,13.0,149
22,17.9,1.0,0.8,92.0,377.0,0.015,32.0,24.0,134
7,6.4,0.0,0.7,83.0,1147.0,0.018,55.0,21.0,82
0,12.2,0.0,1.2,50.0,1707.0,0.033,58.0,29.0,62
22,10.4,0.0,3.0,70.0,2000.0,0.037,48.0,19.0,110
10,21.0,0.0,0.3,57.0,1463.0,0.01,41.0,27.0,99
18,19.4,0.0,4.5,37.0,1789.0,0.058,54.0,31.0,305
14,20.4,0.0,2.7,22.0,2000.0,0.049,45.0,19.0,235
14,22.9,0.0,1.8,54.0,666.0,0.047,98.0,34.0,116
11,22.7,0.0,4.7,41.0,1781.0,0.048,38.0,21.0,85
12,16.2,0.0,2.9,57.0,946.0,0.027,,,108
2,19.4,0.0,1.8,78.0,634.0,0.051,59.0,34.0,33
10,17.8,0.0,2.1,47.0,764.0,0.054,166.0,41.0,71
11,23.3,0.0,1.2,32.0,1001.0,0.027,63.0,33.0,104
18,21.9,0.0,4.1,17.0,1987.0,0.056,61.0,16.0,150
18,,,,,,,,,1
16,18.5,0.0,4.2,38.0,1546.0,0.051,80.0,23.0,138
6,14.7,1.0,0.1,93.0,153.0,0.02,59.0,31.0,3
14,27.2,0.0,2.0,36.0,1299.0,0.041,51.0,31.0,118
11,22.0,0.0,2.0,39.0,1677.0,0.037,46.0,28.0,88
19,17.8,0.0,3.6,53.0,746.0,0.04,83.0,47.0,204
22,14.1,0.0,3.0,37.0,1722.0,0.057,57.0,31.0,144
5,11.8,0.0,0.8,51.0,1694.0,0.055,102.0,30.0,26
3,16.3,0.0,2.4,59.0,792.0,0.018,111.0,65.0,25
5,9.9,0.0,1.1,82.0,412.0,0.023,55.0,49.0,11
4,11.7,0.0,2.2,38.0,1645.0,0.065,70.0,43.0,15
16,22.5,0.0,5.6,23.0,1948.0,0.062,92.0,19.0,151
12,20.6,0.0,2.1,62.0,1330.0,0.045,38.0,24.0,105
15,22.2,0.0,4.9,56.0,1501.0,0.058,46.0,24.0,11
10,20.9,0.0,2.1,35.0,1944.0,0.031,28.0,19.0,84
22,18.8,0.0,3.0,32.0,2000.0,0.044,28.0,17.0,224
5,14.7,0.0,0.2,48.0,2000.0,0.023,28.0,20.0,19
0,10.0,0.0,0.5,50.0,830.0,0.026,82.0,70.0,46
9,16.0,0.0,0.5,54.0,1192.0,0.012,127.0,33.0,53
20,21.5,0.0,1.0,33.0,2000.0,0.049,60.0,32.0,201
15,12.7,1.0,4.8,88.0,293.0,0.044,,,8
17,24.1,0.0,2.8,53.0,525.0,0.082,88.0,51.0,158
1,11.4,0.0,1.7,40.0,1645.0,,,,27
8,10.0,1.0,3.5,99.0,106.0,0.029,26.0,24.0,41
0,9.6,0.0,3.2,66.0,1957.0,0.034,51.0,14.0,50
20,17.4,0.0,3.5,30.0,1815.0,0.056,72.0,41.0,135
8,19.5,0.0,2.0,64.0,901.0,0.04,53.0,39.0,241
7,14.6,1.0,0.9,94.0,108.0,0.019,58.0,29.0,37
22,13.6,0.0,3.1,84.0,1038.0,0.033,42.0,21.0,112
3,11.3,0.0,2.0,78.0,548.0,0.008,67.0,58.0,17
20,14.2,0.0,3.6,33.0,2000.0,0.035,42.0,20.0,138
1,20.0,0.0,2.1,73.0,729.0,,,,46
15,13.2,0.0,4.6,34.0,1954.0,0.051,22.0,21.0,104
2,17.9,1.0,0.1,91.0,383.0,0.004,29.0,26.0,22
12,25.6,0.0,1.8,29.0,869.0,0.032,73.0,33.0,129
23,21.9,0.0,2.0,49.0,2000.0,0.008,34.0,23.0,150
6,17.7,0.0,0.6,56.0,2000.0,0.014,31.0,20.0,49
13,22.6,0.0,4.2,55.0,1486.0,0.046,32.0,23.0,115
4,11.0,1.0,3.4,98.0,137.0,0.04,24.0,24.0,2
15,20.8,0.0,5.1,25.0,1937.0,0.073,55.0,22.0,113
20,16.4,0.0,4.2,33.0,2000.0,0.052,53.0,24.0,155
12,23.5,0.0,3.4,48.0,1663.0,0.026,33.0,22.0,151
3,14.2,0.0,2.0,83.0,248.0,0.06,102.0,57.0,15
21,21.4,0.0,3.7,49.0,1790.0,0.027,54.0,30.0,207
2,13.0,0.0,0.5,48.0,1992.0,0.043,73.0,26.0,29
21,16.6,0.0,1.7,64.0,2000.0,0.031,30.0,17.0,192
9,11.2,0.0,0.8,67.0,660.0,0.009,75.0,38.0,70
21,20.8,0.0,3.1,35.0,2000.0,0.053,38.0,26.0,198
18,13.3,0.0,4.3,73.0,1518.0,0.044,45.0,22.0,145
14,17.8,0.0,2.7,56.0,524.0,0.025,72.0,59.0,203
7,10.4,0.0,2.5,44.0,2000.0,0.039,34.0,26.0,81
13,26.2,0.0,2.6,38.0,1610.0,0.025,41.0,26.0,91
14,25.6,0.0,3.9,41.0,1598.0,0.061,40.0,27.0,226
0,7.5,0.0,1.2,56.0,962.0,0.031,75.0,64.0,36
12,25.3,0.0,2.6,39.0,1809.0,0.048,33.0,24.0,168
16,23.5,0.0,4.1,20.0,1947.0,0.067,48.0,25.0,332
0,15.8,0.0,3.0,76.0,389.0,0.065,93.0,55.0,90
4,13.1,0.0,0.4,73.0,1480.0,0.005,33.0,19.0,13
22,18.5,0.0,2.9,48.0,2000.0,0.029,26.0,18.0,206
2,19.0,0.0,2.2,78.0,759.0,0.06,50.0,33.0,20
16,24.4,0.0,3.3,52.0,549.0,0.078,81.0,45.0,127
1,15.6,0.0,0.6,46.0,2000.0,,,,70
23,18.0,0.0,1.4,36.0,1051.0,0.031,166.0,36.0,131
2,14.3,0.0,0.4,70.0,1014.0,0.038,58.0,39.0,42
14,28.4,0.0,3.4,44.0,819.0,0.082,78.0,52.0,97
18,18.8,0.0,2.5,52.0,773.0,0.054,75.0,45.0,279
9,15.6,0.0,0.8,58.0,963.0,0.01,51.0,30.0,140
16,19.2,0.0,3.5,54.0,2000.0,0.044,32.0,16.0,137
0,11.4,1.0,2.8,84.0,350.0,0.012,69.0,59.0,17
8,13.5,0.0,0.8,78.0,972.0,0.024,36.0,19.0,189
17,20.3,0.0,5.5,35.0,2000.0,0.053,60.0,16.0,276
1,15.3,0.0,1.4,77.0,1542.0,,,,41
0,17.9,0.0,0.7,87.0,582.0,0.004,32.0,25.0,30
10,14.0,0.0,3.6,29.0,2000.0,0.033,38.0,25.0,76
11,16.7,0.0,3.9,39.0,1563.0,0.031,45.0,25.0,95
12,15.3,0.0,3.5,27.0,1900.0,0.041,67.0,21.0,129
19,16.6,0.0,5.0,25.0,2000.0,0.048,54.0,18.0,199
7,7.0,0.0,1.1,75.0,1981.0,0.023,57.0,14.0,88
12,19.5,0.0,2.1,32.0,2000.0,0.036,23.0,12.0,135
15,15.0,0.0,5.0,29.0,1418.0,0.06,56.0,49.0,284
0,20.3,0.0,2.3,55.0,1731.0,0.017,58.0,31.0,94
14,19.4,0.0,5.7,40.0,1971.0,0.05,61.0,16.0,268
9,6.4,0.0,0.6,62.0,453.0,0.02,90.0,79.0,87
15,21.6,0.0,3.4,21.0,2000.0,0.053,33.0,17.0,284
0,14.0,0.0,2.2,61.0,2000.0,0.036,44.0,17.0,63
23,20.4,0.0,2.7,73.0,868.0,0.069,55.0,37.0,124
8,5.4,0.0,1.9,78.0,1993.0,0.01,18.0,18.0,38
10,11.1,0.0,3.9,18.0,1963.0,0.027,55.0,12.0,77
0,12.8,0.0,1.3,85.0,830.0,0.035,41.0,21.0,87
5,15.7,0.0,1.0,62.0,1704.0,0.019,42.0,28.0,22
21,17.0,0.0,2.4,27.0,2000.0,0.045,44.0,17.0,127
0,12.8,0.0,1.8,79.0,733.0,0.008,46.0,38.0,75
10,9.5,0.0,2.7,99.0,182.0,0.023,24.0,23.0,37
10,14.8,0.0,1.9,37.0,1688.0,0.018,48.0,25.0,72
13,22.3,0.0,3.7,49.0,1819.0,0.057,38.0,22.0,118
23,17.3,0.0,2.9,37.0,1325.0,0.063,63.0,35.0,102
10,14.2,0.0,1.8,51.0,990.0,0.042,58.0,30.0,101
12,23.5,0.0,2.0,55.0,1788.0,0.027,26.0,18.0,138
19,20.0,0.0,3.8,72.0,1406.0,0.022,37.0,22.0,5
11,12.0,0.0,2.1,76.0,342.0,0.017,66.0,60.0,87
4,11.7,0.0,0.6,91.0,239.0,0.008,72.0,60.0,9
12,21.4,0.0,3.0,46.0,565.0,0.064,213.0,57.0,104
19,24.6,0.0,1.6,49.0,740.0,0.07,80.0,46.0,193
8,9.1,0.0,2.2,53.0,1939.0,0.013,34.0,15.0,200
7,9.3,0.0,1.9,14.0,2000.0,0.04,42.0,11.0,73
21,15.5,0.0,3.2,64.0,1994.0,0.039,40.0,19.0,194
13,24.7,0.0,2.4,30.0,1461.0,0.063,77.0,39.0,199
14,20.0,0.0,1.9,44.0,930.0,0.034,124.0,39.0,156
11,16.9,0.0,1.8,35.0,1283.0,0.05,61.0,32.0,113
23,19.5,0.0,2.7,47.0,1753.0,0.04,53.0,35.0,134
22,20.8,0.0,2.1,57.0,2000.0,0.013,32.0,19.0,219
5,13.2,0.0,0.1,76.0,698.0,0.023,56.0,42.0,17
22,17.7,0.0,2.4,45.0,2000.0,0.032,39.0,21.0,190
19,21.7,0.0,2.2,12.0,2000.0,0.052,17.0,10.0,214
18,25.9,0.0,4.5,31.0,2000.0,0.079,54.0,29.0,366
8,18.0,0.0,0.3,61.0,1373.0,0.021,52.0,28.0,57
17,26.6,0.0,4.0,39.0,1081.0,0.091,84.0,48.0,287
13,20.1,0.0,1.4,48.0,916.0,0.042,73.0,40.0,159
8,9.2,0.0,0.8,90.0,347.0,0.022,39.0,,160
16,27.7,0.0,2.3,39.0,888.0,0.061,63.0,38.0,142
23,12.7,0.0,2.1,60.0,737.0,0.061,88.0,60.0,75
2,17.6,0.0,2.3,34.0,2000.0,0.055,46.0,20.0,43
18,21.1,0.0,3.3,42.0,832.0,0.064,192.0,,236
13,18.3,0.0,4.4,46.0,1996.0,0.053,14.0,15.0,184
1,13.1,0.0,2.5,46.0,2000.0,,,,17
22,17.6,0.0,2.4,36.0,2000.0,0.038,32.0,12.0,176
0,11.5,0.0,1.0,74.0,2000.0,0.026,26.0,22.0,40
7,10.0,0.0,0.5,51.0,1948.0,0.028,84.0,25.0,72
21,9.2,0.0,2.3,48.0,1931.0,0.037,46.0,37.0,57
21,12.5,0.0,4.0,73.0,1264.0,0.051,57.0,27.0,91
22,12.8,0.0,1.3,72.0,2000.0,0.033,31.0,24.0,133
7,16.1,0.0,1.3,64.0,1522.0,0.025,38.0,26.0,26
0,18.6,0.0,0.3,58.0,554.0,0.053,110.0,63.0,104
3,17.1,0.0,1.4,50.0,1718.0,0.004,72.0,44.0,24
10,12.2,0.0,3.5,41.0,1594.0,0.02,131.0,24.0,76
13,23.0,0.0,3.4,36.0,2000.0,0.044,49.0,26.0,97
2,4.9,0.0,1.0,78.0,1947.0,0.026,30.0,27.0,16
13,24.7,0.0,2.2,48.0,1926.0,0.036,26.0,18.0,121
13,20.2,0.0,3.6,32.0,2000.0,0.043,20.0,12.0,107
0,18.5,0.0,0.9,46.0,1848.0,0.008,69.0,44.0,69
9,15.0,0.0,2.9,59.0,1921.0,0.018,58.0,17.0,113
1,9.9,0.0,1.3,85.0,522.0,,,,35
4,12.3,0.0,1.5,36.0,966.0,0.024,96.0,90.0,14
5,7.4,0.0,1.8,57.0,813.0,0.004,78.0,71.0,12
14,24.0,0.0,2.6,51.0,1946.0,0.042,34.0,26.0,92
22,23.4,0.0,2.6,37.0,2000.0,0.015,26.0,16.0,214
1,14.5,0.0,1.7,71.0,1307.0,,,,44
17,18.0,0.0,7.1,38.0,1355.0,0.051,152.0,21.0,106
12,20.7,0.0,2.7,70.0,625.0,0.053,68.0,39.0,93
1,19.3,0.0,1.9,78.0,715.0,,,,39
2,19.8,0.0,2.2,58.0,1632.0,0.025,63.0,30.0,52
8,9.5,0.0,1.5,72.0,955.0,0.02,47.0,22.0,214
5,10.8,0.0,3.3,98.0,91.0,0.036,32.0,24.0,1
4,17.8,0.0,1.8,91.0,328.0,0.013,25.0,22.0,9
14,26.7,0.0,1.2,37.0,1397.0,0.038,45.0,29.0,132
15,27.4,0.0,3.8,23.0,1957.0,0.067,47.0,22.0,104
15,19.7,0.0,4.5,31.0,1795.0,0.065,64.0,39.0,138
17,17.2,0.0,4.0,32.0,1567.0,0.037,67.0,27.0,126
21,13.0,0.0,2.7,76.0,528.0,0.015,60.0,50.0,135
0,13.6,0.0,1.5,29.0,1154.0,0.055,76.0,66.0,47
4,10.6,0.0,1.8,80.0,512.0,0.019,53.0,45.0,8
18,18.9,0.0,4.4,22.0,2000.0,0.046,41.0,18.0,318
22,14.0,0.0,2.9,43.0,1887.0,0.043,83.0,20.0,91
22,18.3,0.0,1.0,37.0,970.0,0.032,169.0,38.0,172
3,10.7,1.0,3.3,56.0,1392.0,0.032,103.0,23.0,12
14,19.1,0.0,1.7,44.0,1155.0,0.036,34.0,,112
16,22.3,0.0,3.6,11.0,2000.0,0.05,17.0,13.0,149
16,27.8,0.0,1.5,22.0,1644.0,0.083,71.0,35.0,219
11,15.0,0.0,1.4,50.0,1517.0,0.03,48.0,24.0,86
13,24.7,0.0,3.4,35.0,1492.0,0.063,54.0,32.0,104
15,18.6,0.0,2.8,54.0,619.0,0.038,54.0,43.0,238
22,21.3,0.0,1.2,71.0,471.0,0.048,82.0,47.0,186
23,13.1,0.0,2.1,31.0,2000.0,0.036,31.0,13.0,98
18,21.7,0.0,3.4,60.0,1920.0,0.025,37.0,21.0,24
2,17.8,0.0,1.5,47.0,2000.0,0.028,34.0,22.0,50
7,18.7,0.0,2.0,69.0,915.0,,,,127
4,13.4,0.0,1.4,79.0,815.0,0.027,47.0,22.0,9
15,20.0,0.0,4.9,35.0,2000.0,0.052,68.0,13.0,311
7,17.9,0.0,1.6,67.0,1420.0,0.029,53.0,29.0,26
10,20.7,0.0,4.1,43.0,1480.0,0.044,32.0,21.0,109
7,19.5,0.0,3.3,67.0,620.0,0.06,73.0,47.0,90
20,23.2,0.0,2.5,55.0,692.0,0.059,84.0,48.0,199
8,10.1,0.0,2.0,70.0,788.0,0.016,61.0,29.0,47
3,12.9,0.0,2.4,66.0,2000.0,0.036,39.0,17.0,14
3,8.6,0.0,2.0,68.0,1891.0,0.026,85.0,15.0,19
22,8.6,0.0,1.7,52.0,994.0,0.049,72.0,64.0,60
18,23.8,0.0,3.5,39.0,1777.0,0.053,66.0,36.0,277
17,12.9,1.0,3.3,82.0,1076.0,0.047,46.0,32.0,45
21,12.9,0.0,3.4,48.0,2000.0,0.042,45.0,23.0,132
11,17.2,0.0,2.9,74.0,1307.0,0.029,39.0,25.0,81
14,21.9,0.0,2.3,45.0,925.0,0.049,72.0,36.0,181
17,11.5,1.0,3.0,91.0,555.0,0.036,29.0,21.0,64
4,11.0,0.0,0.9,84.0,532.0,0.052,60.0,33.0,22
9,13.8,0.0,1.9,64.0,1344.0,0.039,93.0,19.0,39
20,13.5,0.0,3.3,76.0,538.0,0.021,64.0,53.0,106
11,16.3,0.0,3.5,20.0,2000.0,0.036,31.0,21.0,76
3,19.4,0.0,2.7,59.0,1529.0,0.025,65.0,31.0,32
6,13.5,0.0,0.5,49.0,2000.0,0.051,29.0,18.0,37
12,18.7,0.0,4.6,34.0,1812.0,0.045,51.0,22.0,125
14,22.1,0.0,6.0,22.0,1732.0,0.053,66.0,33.0,243
13,17.9,0.0,3.4,67.0,1467.0,0.038,42.0,28.0,70
22,20.3,0.0,0.9,49.0,730.0,0.072,104.0,59.0,226
8,6.7,0.0,2.1,58.0,801.0,0.004,81.0,67.0,181
21,19.4,0.0,3.4,40.0,2000.0,0.04,33.0,17.0,199
21,22.8,0.0,3.3,62.0,1319.0,0.067,58.0,38.0,267
0,18.8,0.0,2.9,31.0,2000.0,0.061,53.0,22.0,69
3,10.8,0.0,3.8,45.0,2000.0,0.039,34.0,19.0,20
9,18.8,0.0,0.5,49.0,1132.0,0.027,39.0,23.0,75
15,19.7,0.0,3.4,61.0,1053.0,0.044,48.0,29.0,113
19,18.8,0.0,4.3,28.0,2000.0,0.051,40.0,19.0,211
13,20.1,0.0,5.0,32.0,1586.0,0.055,52.0,24.0,134
23,13.5,0.0,2.2,39.0,1924.0,0.038,80.0,20.0,63
6,9.8,0.0,0.1,84.0,874.0,0.009,35.0,27.0,32
12,25.7,0.0,1.6,44.0,1144.0,0.02,49.0,30.0,119
13,22.6,0.0,,41.0,987.0,0.046,64.0,39.0,208
21,14.7,0.0,3.1,37.0,1984.0,0.054,53.0,25.0,161
18,11.2,0.0,3.3,90.0,404.0,0.033,33.0,28.0,206
7,14.7,0.0,2.1,54.0,2000.0,0.024,31.0,23.0,18
22,20.8,0.0,1.8,48.0,1781.0,0.028,55.0,31.0,221
16,21.4,0.0,3.8,21.0,1022.0,0.076,74.0,67.0,110
6,10.4,0.0,1.7,50.0,1976.0,0.024,94.0,27.0,30
8,6.3,0.0,1.9,76.0,1344.0,0.013,61.0,24.0,192
18,19.7,0.0,5.7,35.0,2000.0,0.052,54.0,17.0,280
23,10.0,0.0,2.1,86.0,486.0,0.01,41.0,,73
15,26.8,0.0,3.7,34.0,1923.0,0.076,44.0,29.0,237
17,22.8,0.0,3.2,58.0,1940.0,0.031,33.0,22.0,85
21,21.1,0.0,2.7,55.0,2000.0,0.035,34.0,29.0,256
21,21.0,0.0,3.0,41.0,2000.0,0.046,33.0,22.0,232
7,11.2,0.0,1.8,52.0,1655.0,0.037,95.0,30.0,90
13,20.8,0.0,2.2,70.0,570.0,0.045,68.0,40.0,83
6,14.4,0.0,1.5,52.0,2000.0,0.018,30.0,21.0,19
6,11.1,0.0,1.7,75.0,1105.0,0.035,78.0,20.0,14
12,19.7,0.0,2.4,41.0,732.0,0.022,75.0,38.0,121
5,15.0,1.0,1.2,88.0,203.0,0.026,35.0,24.0,3
15,21.3,0.0,1.3,36.0,1368.0,0.041,30.0,27.0,146
11,9.6,0.0,3.3,99.0,269.0,0.024,22.0,,37
14,14.2,0.0,3.1,27.0,1564.0,0.053,49.0,46.0,186
6,13.9,0.0,0.7,79.0,1382.0,0.033,32.0,19.0,26
23,20.5,0.0,1.6,54.0,1808.0,0.028,56.0,31.0,137
15,12.3,1.0,2.5,89.0,1631.0,0.04,30.0,18.0,23
12,25.0,0.0,1.8,27.0,2000.0,0.049,25.0,14.0,153
14,26.4,0.0,3.5,32.0,1911.0,0.067,29.0,18.0,229
15,18.8,0.0,3.8,41.0,1632.0,0.043,78.0,26.0,119
1,16.8,0.0,0.8,79.0,518.0,,,,95
13,25.5,0.0,3.7,32.0,1841.0,0.057,37.0,22.0,143
2,19.4,0.0,1.1,59.0,2000.0,0.018,29.0,22.0,45
12,13.1,0.0,4.6,14.0,1910.0,0.041,58.0,11.0,96
10,21.8,0.0,1.0,34.0,1092.0,0.016,68.0,39.0,92
16,18.2,0.0,2.7,30.0,1932.0,0.051,56.0,15.0,129
22,19.6,0.0,2.8,42.0,2000.0,0.056,41.0,26.0,245
7,8.6,0.0,1.0,85.0,490.0,0.004,75.0,38.0,24
6,13.4,0.0,1.9,78.0,815.0,0.02,53.0,26.0,36
19,17.3,0.0,2.6,40.0,2000.0,0.049,19.0,15.0,137
18,20.9,0.0,4.2,51.0,686.0,0.031,59.0,50.0,275
9,4.9,0.0,2.0,74.0,879.0,0.008,35.0,35.0,30
22,17.2,0.0,2.6,55.0,1851.0,0.047,52.0,33.0,139
7,13.2,0.0,0.9,55.0,2000.0,0.041,34.0,17.0,100
11,18.4,0.0,0.9,57.0,1437.0,0.027,39.0,21.0,78
5,15.7,0.0,2.4,56.0,1179.0,0.019,141.0,36.0,8
2,9.2,0.0,0.4,62.0,1882.0,0.04,49.0,18.0,24
8,8.1,0.0,0.4,70.0,1378.0,0.007,52.0,25.0,194
6,11.6,0.0,2.0,73.0,636.0,0.03,67.0,40.0,36
19,26.5,0.0,4.4,31.0,1973.0,0.071,45.0,28.0,324
21,22.1,0.0,2.6,56.0,2000.0,0.028,30.0,21.0,222
4,16.9,0.0,2.0,71.0,1636.0,0.037,29.0,22.0,8
5,9.9,0.0,1.4,68.0,840.0,0.036,62.0,35.0,10
11,18.3,0.0,0.8,58.0,941.0,0.018,56.0,24.0,88
12,17.2,0.0,3.4,56.0,1478.0,0.035,34.0,24.0,19
19,18.7,0.0,4.7,37.0,1676.0,0.06,65.0,37.0,202
20,14.5,0.0,2.9,54.0,1707.0,0.029,79.0,25.0,150
18,22.9,0.0,5.5,29.0,2000.0,0.049,36.0,9.0,375
10,16.0,0.0,2.8,84.0,976.0,0.028,46.0,31.0,95
23,19.4,0.0,0.3,42.0,1368.0,0.07,53.0,31.0,120
5,5.5,0.0,0.5,78.0,2000.0,0.022,18.0,,7
6,9.9,0.0,0.3,77.0,774.0,0.026,63.0,31.0,13
19,17.7,0.0,4.1,25.0,1301.0,0.07,67.0,58.0,143
20,20.7,0.0,3.1,37.0,2000.0,0.035,31.0,16.0,219
19,22.3,0.0,1.1,36.0,2000.0,0.056,54.0,28.0,213
6,12.6,0.0,0.4,78.0,1192.0,0.004,32.0,20.0,28
17,15.2,0.0,5.8,14.0,1956.0,0.044,,,138
22,11.7,0.0,1.6,41.0,910.0,0.037,79.0,68.0,114
17,22.4,0.0,4.5,39.0,1723.0,0.071,63.0,37.0,261
17,23.0,0.0,2.5,40.0,921.0,0.034,43.0,35.0,159
6,16.0,0.0,1.3,56.0,1675.0,0.005,65.0,50.0,37
1,11.5,0.0,2.4,82.0,727.0,,,,63
23,19.5,0.0,1.8,61.0,1994.0,0.034,36.0,27.0,145
4,13.5,0.0,0.9,52.0,2000.0,0.051,32.0,20.0,11
7,10.9,0.0,2.0,61.0,973.0,0.028,61.0,38.0,85
15,15.9,0.0,4.3,15.0,2000.0,0.048,55.0,11.0,105
2,11.4,1.0,0.9,89.0,289.0,0.017,67.0,57.0,5
15,26.8,0.0,2.6,30.0,990.0,0.067,86.0,46.0,132
13,15.8,0.0,6.3,27.0,2000.0,0.044,,,106
16,22.3,0.0,2.0,20.0,2000.0,0.055,33.0,19.0,264
14,16.5,0.0,3.8,20.0,2000.0,0.037,52.0,25.0,113
14,24.6,0.0,2.6,32.0,1867.0,0.052,47.0,27.0,101
4,11.9,0.0,2.8,85.0,742.0,0.045,57.0,22.0,27
14,23.1,0.0,3.6,44.0,620.0,0.08,237.0,62.0,91
13,11.7,0.0,4.4,51.0,2000.0,0.037,22.0,22.0,103
18,19.8,0.0,5.3,21.0,2000.0,0.072,38.0,22.0,266
12,25.0,0.0,1.9,54.0,699.0,0.056,66.0,41.0,113
0,,,,,,,,,39
14,24.4,0.0,3.4,31.0,1972.0,0.061,36.0,22.0,217
19,21.7,0.0,3.8,19.0,2000.0,0.064,37.0,20.0,191
11,24.0,0.0,2.2,42.0,1966.0,0.038,44.0,26.0,121
