cmpyCd,cmpyNm,ptrn,mog,prdNm,age,mlInsRt,fmlInsRt,basDt,ofrInstNm
N10,농협손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(농협),65,4136,2371,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(농협),70,2334,3153,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),20,2558,3274,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),25,3162,1663,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),30,4238,4146,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),35,2509,2509,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),40,3228,3050,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),45,3526,4307,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),50,2858,2201,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),55,1896,2251,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),60,2973,4145,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),65,2585,2967,20220101,손해보험협회
N10,농협손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(농협),70,2986,3691,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),20,5021,2401,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),25,2608,3583,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),30,3545,4185,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),35,3467,2530,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),40,3472,3631,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),45,3656,3180,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),50,3853,3676,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),55,4105,3286,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),60,2866,2910,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),65,3965,2187,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),70,3294,2504,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),20,3022,3758,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),25,3152,2834,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),30,1912,3359,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),35,3516,4422,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),40,2753,2964,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),45,3199,3983,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),50,2923,3009,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),55,3486,2939,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),60,2642,2945,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),65,3858,2030,20220101,손해보험협회
N11,AIG,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),70,3106,2274,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),20,3956,1657,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),25,2552,3082,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),30,4252,2750,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),35,2555,4210,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),40,1841,1150,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),45,3352,2423,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),50,2183,3331,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),55,3195,2376,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),60,1975,3454,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),65,3520,2725,20220101,손해보험협회
N11,AIG,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AI),70,4477,1997,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),20,1779,2281,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),25,2963,2982,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),30,2807,3064,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),35,1998,3882,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),40,2934,3637,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),45,3274,3142,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),50,3455,3135,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),55,3514,3796,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),60,3157,3331,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),65,2928,3880,20220101,손해보험협회
N11,AIG,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AI),70,2458,4150,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),20,2967,1726,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),25,3102,2289,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),30,3672,2310,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),35,2643,1382,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),40,2638,982,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),45,1732,3370,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),50,3628,3119,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),55,2226,2764,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),60,2997,1931,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),65,4202,3458,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),70,2823,2820,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),20,3166,1268,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),25,2802,2288,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),30,2198,2589,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),35,4438,3280,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),40,2543,3229,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),45,4119,3493,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),50,3047,2314,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),55,3558,3095,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),60,3716,3276,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),65,3839,2398,20220101,손해보험협회
N12,AXA,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),70,4053,2948,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),20,4660,2283,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),25,4388,2948,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),30,2478,2437,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),35,2743,3118,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),40,3418,2369,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),45,2980,4406,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),50,4382,3127,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),55,3030,2890,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),60,3490,2032,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),65,2794,1548,20220101,손해보험협회
N12,AXA,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(AX),70,3319,3285,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),20,2613,3980,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),25,2019,1701,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),30,3179,3585,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),35,4347,2455,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),40,3862,2771,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),45,2861,3462,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),50,3521,1617,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),55,4181,3835,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),60,2499,3096,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),65,3395,2995,20220101,손해보험협회
N12,AXA,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(AX),70,2559,2296,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),20,2979,3679,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),25,3434,2522,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),30,3617,663,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),35,3919,1495,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),40,2710,1960,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),45,1964,3670,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),50,2625,3059,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),55,2962,3157,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),60,3061,1837,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),65,3797,2429,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),70,1754,2478,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),20,4200,3437,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),25,2721,2538,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),30,2742,4357,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),35,3305,3122,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),40,3824,2979,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),45,2792,2652,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),50,2942,2772,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),55,3582,2838,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),60,3586,2739,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),65,3062,1301,20220101,손해보험협회
N13,캐롯손보,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),70,3733,3059,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),20,3798,627,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),25,4670,2695,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),30,3886,2020,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),35,3490,2009,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),40,2500,4235,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),45,2847,2963,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),50,3696,3171,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),55,3120,3073,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),60,4922,2756,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),65,3160,3587,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(캐롯),70,3884,3690,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),20,3510,1942,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),25,4306,1940,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),30,3242,2234,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),35,2948,3046,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),40,3257,3116,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),45,4290,3140,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),50,2804,3523,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),55,3951,1879,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),60,3477,3325,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),65,2761,3831,20220101,손해보험협회
N13,캐롯손보,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(캐롯),70,2879,2894,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),20,2861,2811,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),25,2122,1719,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),30,4275,2164,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),35,2206,1184,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),40,2488,1807,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),45,4313,3557,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),50,2449,4489,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),55,3785,2556,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),60,1000,4518,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),65,1888,1565,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),70,3818,4629,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),20,4107,3222,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),25,3475,3440,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),30,3607,3010,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),35,3083,2753,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),40,2396,2589,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),45,1645,2726,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),50,2209,1972,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),55,3143,3844,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),60,3734,1622,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),65,2208,3505,20220101,손해보험협회
N14,에이스,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),70,2214,2631,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),20,3440,2073,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),25,3084,1799,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),30,2518,3039,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),35,1725,3130,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),40,2984,3214,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),45,3179,3823,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),50,3100,2477,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),55,3097,3207,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),60,3039,2830,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),65,2438,2302,20220101,손해보험협회
N14,에이스,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(에이),70,1877,4112,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),20,2004,2280,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),25,2425,3471,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),30,2764,3735,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),35,2461,3009,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),40,2331,4408,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),45,2049,3032,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),50,3507,3110,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),55,2851,2702,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),60,3035,2689,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),65,3771,4457,20220101,손해보험협회
N14,에이스,노후 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(에이),70,2554,1772,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),20,2929,4734,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),25,2357,4029,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),30,4342,2384,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),35,3455,4021,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),40,2696,2647,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),45,2534,2038,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),50,2480,1882,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),55,3027,2222,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),60,3187,1633,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),65,3264,3425,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),70,1405,3080,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),20,3982,1892,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),25,4338,3114,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),30,2435,2758,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),35,3446,2857,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),40,3431,2109,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),45,3135,1739,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),50,2911,2122,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),55,2411,3727,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),60,3873,3256,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),65,2126,2562,20220101,손해보험협회
N15,더케이,4세대 실손의료보험,3대비급여,(무)케어플랜 실손의료비보험(더케),70,3970,2906,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),20,4855,3094,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),25,3153,2568,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),30,3106,2685,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),35,3566,3517,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),40,2371,1801,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),45,1531,3180,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),50,2117,1185,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),55,3310,4669,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),60,2995,3428,20220101,손해보험협회
N15,더케이,노후 실손의료보험,상해입원,(무)케어플랜 실손의료비보험(더케),65,3065,2725,20220101,손해보험협회
